Film;Year;Director;Nominations
Roma;2018;Alfonso Cuaron;12
The Shape of Water;2017;Guillermo del Toro;13
Moonlight;2016;Barry Jenkins;8
Spotlight;2015;Tom McCarthy;6
Birdman;2014;Alejandro Gonzalez Inarritu;9
12 Years a Slave;2013;Steve McQueen;9
Argo;2012;Ben Affleck;7
The Artist;2011;Michel Hazanavicius;10
The King's Speech;2010;Tom Hooper;12
The Hurt Locker;2009;Kathryn Bigelow;9
Slumdog Millionaire;2008;Danny Boyle;10
No Country for Old Men;2007;Joel and Ethan Cohen;8
The Departed;2006;Martin Scorcese;5
Crash;2005;Paul Haggis;6
Million Dollar Baby;2004;Clint Eastwood;7
The Lord of the Rings: The Return of the King;2003;Peter Jackson;11
Chicago;2002;Rob Marshall;1
A Beautiful Mind;2001;Ron Howard;8
Gladiator;2000;Ridley Scott;12
American Beauty;1999;Sam Mendes;8
Shakespeare in Love;1998;John Madden;13
Titanic;1997;James Cameron;14
The English Patient;1996;Anthony Minghella;12
Braveheart;1995;Mel Gibson;10
Forrest Gump;1994;Robert Zemeckis;13
Schindler's List;1993;Steven Spielberg;12
Unforgiven;1992;Clint Eastwood;9
The Silence of the Lambs;1991;Jonathan Demme;7
Dances with Wolves;1990;Kevin Costner;12
Driving Miss Daisy;1989;Bruce Beresford;9
Rain Man;1988;Barry Levinson;8
The Last Emperor;1987;Bernardo Bertolucci;9
Platoon;1986;Oliver Stone;8
Out of Africa;1985;Sydney Pollack;11
Amadeus;1984;Milos Forman;11
Terms of Endearment;1983;James L. Brooks;11
Gandhi;1982;Richard Attenborough;11
Chariots of Fire;1981;Hugh Hudson;7
Ordinary People;1980;Robert Redford;6
Kramer vs. Kramer;1979;Robert Benton;9
The Deer Hunter;1978;Michael Cimino;9
Annie Hall;1977;Woody Allen;5
Rocky;1976;John G. Avildsen;10
One Flew over the Cuckoo's Nest;1975;Milos Forman;9
The Godfather Part II;1974;Francis Ford Coppola;11
The Sting;1973;George Roy Hill;10
The Godfather;1972;Francis Ford Coppola;10
The French Connection;1971;William Friedkin;8
Patton;1970;Franklin J. Schaffner;10
Midnight Cowboy;1969;John Schlesinger;7
Oliver!;1968;Carol Reed;11
In the Heat of the Night;1967;Norman Jewison;
